enzyme,gene,sterol,treatment,adaptation_type,gene_modified,concentration,std_dev
,,Ergosterol,CAS,Temperature,True,9.75,1.25
,,Ergosta-7-en-3-ol,CAS,Temperature,True,3.0,0.5
,,Ergost-7-en-3beta-ol,CAS,Temperature,True,2.5,0.5
,,Ergosterol,STC,Low Oxygen,True,2.25,0.45
,,Ergosterol,WT,Temperature,False,6.975,0.9249999999999999
ERG4,ERG4,Stigmasta-5_22-dien-3-ol_acetate,CAS,Temperature,True,28.0,2.0
ERG7,ERG7,Lanosterol,CAS,Temperature,True,2.5,0.25
ERG7,ERG7,Cycloartenol,CAS,Temperature,True,7.0,0.3
ERG7,ERG7,Tetrahymanol,STC,Low Oxygen,True,0.65,0.2
ERG2,ERG2,Fecosterol,CAS,Temperature,True,10.0,3.0
ERG2,ERG2,Fecosterol,WT,Temperature,False,2.0,0.3
ERG6,ERG6,Zymosterol,WT,Temperature,False,4.5,0.45
